# Temp. T1 ∆T1 Tau_cos ∆Tau_cos Tau_sin ∆Tau_sin T1_sin ∆T1_sin
310.0000 18.3132 0.3501 1.8104 0.0842 1.8003 0.0581 31.0664 3.4753
313.0000 19.4684 0.3911 1.3749 0.0576 1.3393 0.0466 32.2371 2.4878
316.0000 20.7825 0.4162 0.9894 0.0356 0.9241 0.0278 31.4303 2.1944
319.0000 22.1316 0.4292 0.7216 0.0211 0.7124 0.0162 35.6551 1.6301
322.0000 23.3919 0.4487 0.5491 0.0188 0.5286 0.0122 38.6563 1.4659
325.0000 24.6679 0.4261 0.4119 0.0138 0.3882 0.0107 37.5212 1.6737
328.0000 26.2524 0.4432 0.3198 0.0102 0.2953 0.0088 43.1897 1.7109
331.0000 27.7712 0.4582 0.2502 0.0091 0.2363 0.0062 41.7316 1.5296
334.0000 29.3460 0.4183 0.1110 0.0057 0.1763 0.0070 42.9761 1.8796
337.0000 31.2463 0.4688 0.0950 0.0042 0.1355 0.0046 47.9410 1.5210
340.0000 32.9268 0.4734 0.0706 0.0039 0.1119 0.0061 47.9536 2.1218
343.0000 34.7811 0.3931 0.0652 0.0040 0.0827 0.0056 48.7157 1.7437
346.0000 36.9410 0.4535 0.0873 0.0060 0.0760 0.0061 51.8641 1.9488
